SCCS_ID,language_family,G1_Associated,G2_Harm,G3_Help,G4_Punitive,SG1_Associated,SG2_Harm,SG3_Help,SG4_Punitive,MS1_Associated,MS2_Harm,MS3_Help,MS4_Punitive,Social_Complexity,ResourceStress,Stress
53,Uralic,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18,3,0.270644430
53,Uralic,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18,4,-0.976789891
54,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,NA
54,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2,1.165442359
54,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,3,-0.811933291
54,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4,0.241671524
55,Abkhaz-Adyge,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,36,1,NA
55,Abkhaz-Adyge,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,36,2,0.310158047
55,Abkhaz-Adyge,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,36,3,-0.811933291
55,Abkhaz-Adyge,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,36,4,0.085190164
56,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,NA
56,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,2,NA
56,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,3,NA
56,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,-0.153334246
57,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,-1.117646018
57,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,2,-1.400410576
57,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,3,NA
57,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,-1.252771783
58,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,-1.117646018
58,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,-0.545126265
58,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,3,-0.811933291
